	AveExpr	Coef	t	P.value	F	F.p.value
CNTROB	4.0089180178706	-0.121483108940745	-0.392746756163817	0.701688151906752	0.154250014477201	0.701688151906752
COA1	5.26587253093169	0.409198002327103	2.32653092377316	0.0391684315843608	5.41274613927279	0.0391684315843608
COA3	4.84337620517554	0.178691308943849	0.712002309270828	0.490654380907746	0.506947288406992	0.490654380907746
COA4	3.73613190655737	0.0755368086831116	0.162145460336244	0.874004975718145	0.0262911503076523	0.874004975718145
COA5	3.84215507120564	-0.328462924459882	-1.24994883369182	0.236154071687112	1.56237208684754	0.236154071687112
COA6	1.10209081486041	1.05067511395153	2.42005752922935	0.0331171414002331	5.85667844477965	0.0331171414002331
COA7	4.34781672798476	1.31974230859272	1.49870236305389	0.160887737885133	2.24610877302332	0.160887737885133
COASY	5.70360452448097	-0.356984562705068	-1.96496766355989	0.0740351149909454	3.86109791883602	0.0740351149909454
COBL	3.23407810059148	-6.22284360273253	-6.84688329694796	2.21281211460719e-05	46.879810882025	2.21281211460719e-05
COBLL1	6.20540721469543	-1.969644965025	-5.90501899663395	8.54948816060446e-05	34.8692493506079	8.54948816060444e-05
COCH	1.89413081519349	-2.97075723894899	-4.42922797154959	0.000910028164089557	19.6180604239573	0.000910028164089557
COG1	3.72153597316037	-0.337280827159305	-1.03607844804005	0.321458902678464	1.07345855049307	0.321458902678464
COG2	4.1324372122239	1.1870011051906	2.15860758471075	0.052790080001652	4.65958670477078	0.052790080001652
COG3	2.87915747541752	0.493579100687261	1.3062714062055	0.216980247114536	1.7063449866701	0.216980247114536
COG4	3.10378963870578	0.599590162083547	2.09564448048049	0.0589730116148388	4.39172578856836	0.0589730116148388
COG5	5.7367139866816	-0.385738797008322	-1.33701633422567	0.207060967490912	1.78761267798624	0.207060967490912
COG6	5.12738524066552	-0.567502807219736	-2.52725273557416	0.0272927354779027	6.38700638946707	0.0272927354779027
COG8	5.52030686375137	0.131425354323705	0.540040077900609	0.599470266270933	0.291643285738896	0.599470266270933
COIL	5.10555046704754	-0.444259878030083	-2.12978677577748	0.055540220006313	4.53599171027662	0.055540220006313
COL10A1	3.93105551110697	2.21690502550355	2.46496688452928	0.0305431215682305	6.076061741826	0.0305431215682305
COL11A1	3.95901346458771	2.32201525257568	1.38782551298934	0.191488987039395	1.92605965450412	0.191488987039395
COL11A2	0.160349005465419	-0.0147951306662362	-0.0274941350979168	0.978536906099745	0.000755927464782499	0.978536906099745
COL12A1	9.6709540633202	0.453606125011284	0.761325350615889	0.461788166638355	0.579616289490406	0.461788166638355
COL13A1	2.57837532939556	0.464624629863937	0.944262708482991	0.364449769571127	0.891632062631635	0.364449769571127
COL14A1	6.94477971414092	-0.0990315107824555	-0.171038860392418	0.867165300253451	0.0292542917643371	0.867165300253451
COL15A1	8.08144535192736	1.19782258516997	3.87425829751841	0.00238684672448214	15.0098773558903	0.00238684672448214
COL16A1	7.10981018879842	-0.23262445275935	-0.547285090504449	0.594643356667109	0.299520970288463	0.594643356667109
COL17A1	6.41307809381249	-3.36297490333736	-7.82935348621178	6.09716220495586e-06	61.2987760120565	6.09716220495586e-06
COL18A1	1.7312762821789	-0.118158188060068	-0.191147816737097	0.851742465660314	0.0365374878433589	0.851742465660314
COL19A1	0.336663244851658	0.0724471036962138	0.145057065549627	0.887176755607746	0.0210415522658688	0.887176755607746
COL1A1	7.36564030085913	1.63939784637839	3.32160443926005	0.00643052450180975	11.033056050912	0.00643052450180975
COL1A2	7.51378355489149	0.728473153682049	1.91084895088513	0.0812613946237169	3.65134371309879	0.0812613946237169
COL21A1	3.4534489224584	-2.41764061272458	-5.58402289395785	0.000139334009513672	31.1813116802454	0.000139334009513672
