"","geneID","HS01","HS02","HS03","HS04","HS05","CL08","CL10","CL11","CL12","CL13"
"85","ANGPTL5",1.73012153922264,2.1337148743359,2.14119915106732,3.44888716417405,3.89511156500956,-5.72599267913226,-3.2828554479752,-2.13090030458128,-5.37326886313431,-0.756395039761317
"86","ANK3",8.51688309296358,7.64077306657999,8.4681443090847,7.29238856485433,7.16281854245364,6.20303892700448,4.65148526989659,5.81796896260369,5.43898509770435,6.23610895664031
"87","ANKFN1",4.04006702410771,4.06862885616424,4.22082263032606,4.42640433151245,3.58713527019853,-1.50734190419915,-1.5949676756924,0.143646697677494,-1.63737024665353,-0.760121755915429
"88","ANKRD35",7.51194159854176,6.80077330562389,7.12930837885988,7.59030788974541,6.99407127168282,4.64805080811523,2.32784343796356,1.03197701084191,1.04691908074994,3.31023843147368
"89","ANKRD36BP2",1.06680311065107,1.47847770510368,1.11322954558425,1.80444049232249,0.189423731189945,4.88268530440007,3.95590203375996,3.95201516337926,4.55932560413959,2.75578476257717
"90","ANKRD44",3.00748038718603,3.85925688151919,4.54026579945197,3.77403816822852,2.36596377656972,6.38783347934611,6.84706344023128,6.69039652044801,6.67813660757292,6.08371115914835
"91","ANO1",6.57981091798701,4.68365429803416,5.7656327851261,4.92989227773811,6.56138094085223,2.75520990375452,3.69303439590993,2.37686336851228,2.86073291353505,2.37692938510971
"92","ANO3",1.04034193579671,2.62658082411924,3.73898816847082,3.55540980960363,2.64325828200801,-1.40743663523769,-1.05089547648027,-0.0617100131317367,-0.978235215164578,-0.235919341238572
"93","ANPEP",2.37811791720487,3.97742693613479,3.85256558628206,2.93230751443512,5.13656976960935,4.63005588678791,5.25865499577186,5.95894488230772,5.51346752724548,6.34615649700087
"94","ANTXRLP1",-2.68810857472098,-1.23133556401893,-2.41216717733091,-0.688986370929781,-1.28132806748301,1.27571402795254,1.53745885681998,1.49855453502343,1.84690081567865,1.04459585001455
"95","ANXA2R",0.13603325650619,1.72282091658483,1.61283364200151,1.91396315165856,0.467349062338784,3.79443915333092,3.86679210635623,4.89422312172406,4.71729852956731,3.47029759811305
"96","ANXA8",8.52523609924426,7.25963743330553,8.46787946677119,8.42529122396329,6.75022620330318,5.54681958266433,4.70483022281519,5.40030977071068,5.57260866398563,5.2578257623355
"97","ANXA8L1",5.19872283542522,5.6040423681092,4.26184712541272,4.87563313349071,5.67408315436502,4.3251636551881,0.512210069080795,2.64081678769508,0.792102716415047,2.45120623761133
"98","AOAH",1.65837694782163,3.2991564140052,2.15034561148155,2.77314204350691,4.2887500670692,7.24495396058321,7.86832040557163,7.70173406618862,8.19833332487546,7.78083370735046
"99","AP1M2",3.37854553987632,3.59919034361986,2.74446582384723,2.62327326618224,0.390799760267198,-0.902514294221195,0.0597696823941093,-1.02011584791354,0.315146108968622,1.80548581200069
"100","APBA2",2.43869030157042,2.43008695836987,1.70703009554002,0.504156998041068,4.24695851398732,5.6253403867081,5.32552210113127,5.11782796094271,5.70375241713616,4.92143981239006
"101","APOBEC3A",0.0728841567555942,0.0209258866951709,-0.0346039130226084,1.20308910297332,-1.28132806748301,5.77150340553723,5.71582799574653,7.43242728368366,5.9659241139038,5.60941553158801
"102","APOBEC3D",-0.0506835523584787,-0.49231743831844,0.594284900541708,0.530816424682182,-1.28132806748301,1.75281804455662,3.28188744501404,2.20322973240095,2.76238125490312,3.25559146433381
