"","geneID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2501","SVIL",-2.17789470168055,5.34363038681648,-5.33364389241787,0.000206009233444726,0.00157757833961882,0.572349465821597
"2502","EFNA4",-2.17720623835602,2.5800588311891,-4.74880256608882,0.000531513579364704,0.00328498392299909,-0.113048607226146
"2503","ITGB1",2.17556633858041,5.07110377289816,3.36077997667983,0.00598982709588077,0.0215747523905127,-2.81320028273473
"2504","RP11-10L12.2",2.17541491963635,0.57631796622102,4.20073155190896,0.00134758203291664,0.00673397040650664,-0.820655576957522
"2505","GTSE1",2.17537709602398,1.18208010579103,3.89967171611351,0.00228200446795958,0.0102047198074109,-1.39766929700977
"2506","MFAP2",2.17073820835499,3.47223913790509,5.04845318892249,0.000325098350068968,0.00222938917046854,0.329840347535044
"2507","RGMB",-2.17022216821697,1.75032264594167,-4.66674210423467,0.000609420848110281,0.00367234500219264,-0.167968992651951
"2508","LIPN",-2.16992285387597,4.36553211221307,-2.99727508374611,0.0116028147942691,0.0357466067526917,-3.42290450127024
"2509","ZNF185",-2.16935893461487,2.9942064954018,-2.72052939983442,0.0192166821566287,0.0528798757222304,-3.73113533634105
"2510","ACACB",-2.16886970780445,5.95472244583854,-5.77773760236184,0.000103585265223969,0.000944904181834834,1.23945983639507
"2511","BMP1",2.16845290948561,5.42962241888326,7.95015982356611,5.24454903437572e-06,0.000119764531618084,4.37538769585932
"2512","SALL2",-2.16813464691976,2.12482570898005,-5.91221271437766,8.45781502945118e-05,0.000809006132552609,1.76742289991313
"2513","CD36",-2.16753633351654,6.86821367484695,-2.76338210334516,0.0177742081774263,0.0496930181167557,-4.06182098139614
"2514","C1QTNF6",2.16608574781967,4.707351769791,6.36783573814904,4.33542251862744e-05,0.000510051637157432,2.26393196053107
"2515","AC116366.6",2.16606159183382,3.44716401481145,5.47081486603447,0.000166099482249909,0.00134243826068552,1.00817610211901
"2516","RPP25L",2.16530164885178,2.14778365932521,1.92553949019482,0.0792380892086786,0.160635659913825,-4.92188521966054
"2517","FMNL2",2.16398911222287,0.786742457602951,3.41870912221145,0.00539379120661139,0.0199168173400824,-2.18597761925664
"2518","STARD3NL",2.16352653122923,4.74941669211405,5.45618724139106,0.000169936172831202,0.00136308266943975,0.868221265414645
"2519","GNRHR",2.16262333773725,-0.302963809504536,1.78146345390594,0.101233262012531,0.193544059505949,-4.78283758397653
"2520","DHRS4",-2.16141929387515,1.7163143576176,-2.87043529335,0.0146231519690847,0.0429525746128753,-3.29135914498489
"2521","HADH",-2.16123562459595,3.09857214408209,-2.74547387501813,0.0183635000412191,0.0510286789603503,-3.70868182822979
"2522","PLBD2",2.16069902265175,2.93458821019302,2.46807327858794,0.0303724449084869,0.075605415438812,-4.1451767165785
"2523","AP000295.9",2.15960498283847,2.35006533264421,3.44065951744112,0.0051840557879083,0.0193166314492903,-2.32792905552544
"2524","ABCD1",2.15916337334011,2.75121334445213,5.36257008905913,0.000196820186014706,0.00152295738959538,0.898725653132313
"2525","ADRA2B",-2.15773271390061,0.130547987206515,-4.19554421446802,0.00135974781938144,0.00677449403805102,-0.810266416200461
"2526","FOLR2",2.1574189849304,5.63290261205818,4.75063025013713,0.000529902348388171,0.00327696668965456,-0.41235469954864
"2527","SH2B2",2.15661918229617,0.325825279530359,3.97977339110891,0.00198162643801561,0.00912651347067123,-1.18223941634812
"2528","TGM5",-2.1559699671809,4.12579666685293,-2.67307800316116,0.020949203793716,0.0565763095335413,-3.96262557362618
"2529","CMA1",-2.15559268844305,1.64904173322651,-2.76974763211235,0.0175692884823584,0.0493062330866331,-3.46569867626393
"2530","F10",-2.15412060179524,1.61813374375402,-3.11478173289045,0.00936559691182268,0.0303401642927678,-2.8423553584328
"2531","SCN1B",2.15373882358714,3.87627731057257,5.98508355390997,7.58590266113539e-05,0.00075232862422341,1.76362065665256
"2532","FLI1",2.15324425243565,4.91861336699972,7.51753776033973,9.06449272338371e-06,0.000171092300153868,3.85096846024455
"2533","SLC6A12",2.15314589225612,0.535555602906909,2.41454106671785,0.0334474682568882,0.081364946506769,-3.90191994309174
"2534","DHRS3",-2.15270962659045,4.54247412423962,-8.20082780917115,3.85669842918658e-06,9.81722269544009e-05,4.7273564351969
"2535","DNAH9",-2.15241115866329,1.65434757050749,-5.90886586360792,8.50033507786213e-05,0.000811219519440283,1.79075729405684
"2536","FAM57A",-2.15157260692571,5.60590140018106,-7.09526061539593,1.57970401961782e-05,0.000253813394804917,3.20852084060502
"2537","CHRNA1",2.15090804220163,0.105544593762128,4.69330377533553,0.000582969875015622,0.00354731238893504,0.00862063592728379
"2538","RP11-561C5.4",-2.14994987539388,0.864374580100574,-4.52326784433919,0.000775749618454905,0.00440700360011804,-0.326661878220319
"2539","NRIP3",2.14974076044201,3.77567592274044,6.93484066293057,1.96210891901002e-05,0.000296278446770513,3.14309829846398
"2540","NR4A3",2.14965323637024,2.98050480525553,6.26020745811661,5.06382117518813e-05,0.000567827042088688,2.24191422071693
"2541","RP11-819M15.2",2.14963537851477,0.231833312765696,1.8848729466408,0.0849556212735293,0.169413769418808,-4.70255704809921
"2542","ZNF703",-2.14782862136542,3.916811464905,-7.37931108423128,1.08461114261835e-05,0.000193673445478107,3.71725236930159
"2543","CSF1R",2.14774732024809,7.0366785472124,6.15306770170268,5.91967076925037e-05,0.000635833145539717,1.78788729635732
"2544","ZNF280B",2.14640317822294,0.910567774096017,1.89998688698775,0.0827878428146118,0.166206185529322,-4.77641720834385
"2545","PLXNA2",-2.1452254623083,3.7009510839411,-5.92544726542845,8.29187651424105e-05,0.00079952607207682,1.66257080192836
"2546","RP11-111M22.2",-2.14496347665779,1.14430892009009,-3.14510402671685,0.00886241385104952,0.0291259871141715,-2.73704498693239
"2547","ARHGEF1",2.14443200813491,4.81222913459267,6.3111704994555,4.70388624346708e-05,0.000539524651509171,2.16046976509375
"2548","NAALADL2",-2.14432641920739,4.1710569246287,-5.58608183940118,0.000138891772398532,0.00117849630993691,1.08393601971426
"2549","CALU",2.14410956199408,3.76465563812062,5.27776218946384,0.00022506927590332,0.00168212515527358,0.654551874787471
"2550","AJAP1",2.14392249167136,1.19782991134621,1.89549370614598,0.0834269346947903,0.167122503259669,-4.84056613841967
"2551","NME8",2.14362249215567,0.78908253449856,4.67667291520113,0.00059938710526726,0.00362875346369081,-0.0537265891701404
"2552","MID1",-2.14335277435277,3.96973287278986,-4.78249001808306,0.000502624375166334,0.00314580157221811,-0.215936597239789
"2553","MIXL1",2.14163507154809,-0.509959965663605,2.08656685068808,0.0599187506537782,0.129576797680508,-4.2851692747861
"2554","KCNJ18",-2.14152650271328,1.46401218507014,-2.27580175983039,0.0428821610220653,0.0992922808361147,-4.28393385419771
"2555","MCOLN3",-2.13892252569923,2.26747765790352,-4.5485345251825,0.000743324967452157,0.00426602701800125,-0.421540707904341
"2556","SPRY2",-2.13871213059926,4.37843184248538,-6.50580586051636,3.56089633842545e-05,0.000445556080060587,2.46413353340353
"2557","ACAP1",2.13855564953594,3.64657645376531,5.51642297498297,0.000154714221299105,0.00127383286599523,1.06223444194851
"2558","GSG2",2.1375047302641,2.4027687707825,5.28609112190393,0.000222114185176395,0.00166644569322165,0.80247621385629
"2559","HELZ2",2.13657160195547,5.96214675770642,8.89101685199397,1.71245924686996e-06,5.98413181655193e-05,5.495815109609
